dt,open,high,low,close,volume
"2021-11-30 08:54:00",58172.5117187500,58274.5703125000,58123.9492187500,58123.9882812500,28.9537200928
"2021-11-30 08:53:00",58196.0312500000,58240.7617187500,58108.9804687500,58172.5195312500,32.8003196716
"2021-11-30 08:52:00",58291.2617187500,58291.2695312500,58185.0390625000,58196.0312500000,51.4072914124
"2021-11-30 08:51:00",58200.0000000000,58333.8203125000,58199.9882812500,58291.2695312500,72.3555526733
"2021-11-30 08:50:00",58172.2382812500,58241.3085937500,58150.0000000000,58209.2304687500,62.8133010864
"2021-11-30 08:49:00",58141.9296875000,58196.4804687500,58138.2695312500,58170.1992187500,46.8690299988
"2021-11-30 08:48:00",58141.9296875000,58156.0000000000,58141.9296875000,58150.0390625000,1.0872199535
"2021-11-30 08:47:00",58149.2500000000,58152.6718750000,58149.2382812500,58149.2382812500,0.6384299994
"2021-11-30 08:46:00",58043.2304687500,58130.7617187500,58043.2304687500,58102.1601562500,39.1177711487
"2021-11-30 08:45:00",58066.8281250000,58078.9492187500,58005.1093750000,58033.1289062500,55.5713882446
"2021-11-30 08:44:00",58054.2304687500,58070.9882812500,57999.9882812500,58060.5507812500,56.7035217285
"2021-11-30 08:43:00",58054.2304687500,58054.2304687500,58053.3710937500,58054.2304687500,1.0135699511
"2021-11-30 08:42:00",58096.0000000000,58114.8281250000,58067.0585937500,58105.3515625000,23.7392692566
"2021-11-30 08:41:00",57958.1992187500,58087.0000000000,57951.9101562500,58077.7500000000,29.7046394348
"2021-11-30 08:40:00",57958.1992187500,57958.1992187500,57951.9101562500,57958.1210937500,0.0274000000
"2021-11-30 08:39:00",57930.0000000000,57981.6796875000,57915.8281250000,57935.0000000000,9.4240102768
"2021-11-30 08:38:00",57894.9296875000,57930.1093750000,57894.9296875000,57929.9882812500,19.2360591888
"2021-11-30 08:37:00",57894.9296875000,57895.4882812500,57894.9296875000,57895.4882812500,0.8316900134
"2021-11-30 08:36:00",57952.3281250000,57963.6718750000,57952.3281250000,57954.6093750000,0.7567300200
"2021-11-30 08:35:00",57900.2500000000,57921.4804687500,57844.9882812500,57867.1718750000,39.8623695374
"2021-11-30 08:34:00",57900.2500000000,57900.2500000000,57900.2382812500,57900.2382812500,0.0246799998
"2021-11-30 08:33:00",57942.5312500000,57942.5390625000,57940.4687500000,57940.4687500000,0.0141500002
"2021-11-30 08:32:00",58018.9218750000,58018.9414062500,57983.2500000000,57988.1484375000,20.6768398285
"2021-11-30 08:31:00",58018.9218750000,58018.9218750000,58018.9101562500,58018.9101562500,0.0284700003
"2021-11-30 08:30:00",58020.0000000000,58033.0312500000,58019.9882812500,58026.4414062500,0.4345499873
"2021-11-30 08:29:00",58020.0000000000,58100.0000000000,57987.0000000000,58070.3593750000,27.7709197998
"2021-11-30 08:28:00",58020.0000000000,58020.0117187500,58020.0000000000,58020.0117187500,0.0354500003
"2021-11-30 08:27:00",57977.9804687500,57977.9804687500,57977.0000000000,57977.0000000000,0.1444800049
"2021-11-30 08:26:00",58063.7812500000,58063.7812500000,58063.7695312500,58063.7695312500,0.0501799993
"2021-11-30 08:25:00",57981.7109375000,57981.7187500000,57981.7109375000,57981.7187500000,0.0139800003
"2021-11-30 08:24:00",57959.0000000000,57959.0000000000,57958.9882812500,57958.9882812500,0.0119399996
"2021-11-30 08:23:00",58000.0000000000,58000.0117187500,58000.0000000000,58000.0117187500,0.0124899996
"2021-11-30 08:22:00",58081.7500000000,58081.7500000000,58081.7500000000,58081.7500000000,0.0027300001
"2021-11-30 08:21:00",58161.9218750000,58161.9296875000,58161.9218750000,58161.9218750000,0.0133199999
"2021-11-30 08:20:00",58268.6093750000,58268.6210937500,58268.6093750000,58268.6210937500,0.0121499998
"2021-11-30 08:19:00",58267.2695312500,58267.2695312500,58267.2617187500,58267.2617187500,0.0193399992
"2021-11-30 08:18:00",58178.0703125000,58237.5507812500,58178.0585937500,58214.3085937500,35.8971214294
